,X,Y,Z
380,0.001387836,5.44E-05,0.006544757
385,0.002239412,7.17E-05,0.010572082
390,0.004264094,0.000132018,0.020081248
395,0.007660224,0.000237294,0.036191114
400,0.014305565,0.000386533,0.067906794
405,0.023168845,0.000642793,0.110139178
410,0.043502684,0.001184548,0.207357236
415,0.077631255,0.002163247,0.371253604
420,0.134347205,0.003992714,0.645575081
425,0.214787473,0.007252975,1.039058933
430,0.283880935,0.011595347,1.385582941
435,0.328510953,0.016822888,1.623004128
440,0.348309661,0.022988136,1.747069703
445,0.348073458,0.029806308,1.782555597
450,0.336211863,0.038018282,1.772095401
455,0.318659914,0.047999206,1.744108118
460,0.290825768,0.060004346,1.669112961
465,0.25107126,0.073913163,1.528079165
470,0.195393927,0.090991584,1.287617847
475,0.142080325,0.112579153,1.041889418
480,0.095613231,0.138995552,0.813048406
485,0.057992465,0.169307233,0.616245169
490,0.031990874,0.207984019,0.465135431
495,0.014704512,0.258572957,0.353345654
500,0.004893028,0.323000263,0.272006909
505,0.002408936,0.407307417,0.212303381
510,0.009307433,0.502973965,0.158200927
515,0.029111791,0.608178535,0.11167111
520,0.063284439,0.709996594,0.078177123
525,0.109583704,0.793189081,0.057232998
530,0.165488199,0.86201274,0.042193393
535,0.225743244,0.914890416,0.029815316
540,0.290404783,0.954008795,0.020297674
545,0.359684722,0.980289521,0.013428561
550,0.433432747,0.994976211,0.008722575
555,0.512139915,1.000213504,0.00575986
560,0.594521798,0.99498558,0.003860627
565,0.678424877,0.978611232,0.002746289
570,0.762083275,0.952017214,0.002103228
575,0.84246308,0.915381323,0.00183764
580,0.916290782,0.869996161,0.001648903
585,0.978643404,0.816310677,0.001400833
590,1.026335591,0.75701722,0.0010923
595,1.05666287,0.69488873,0.000944814
600,1.062162228,0.631003909,0.000788287
605,1.045590127,0.566797153,0.000572991
610,1.00259093,0.502991031,0.000331702
615,0.938382019,0.441221945,0.000228857
620,0.854434865,0.380995725,0.000193822
625,0.751372749,0.321000804,9.27E-05
630,0.642403287,0.265010814,2.32E-05
635,0.541891377,0.216983355,2.37E-05
640,0.447953608,0.175014694,2.09E-05
645,0.360788888,0.13818716,5.65E-07
650,0.283533976,0.106996867,9.61E-06
655,0.218696697,0.081601002,-1.86E-05
660,0.16489882,0.061019872,2.09E-05
665,0.121257692,0.044625013,1.19E-05
670,0.087385101,0.031995673,6.22E-06
675,0.063623487,0.023215949,3.39E-06
680,0.04676376,0.017008094,1.70E-06
685,0.032884266,0.011916169,5.65E-07
690,0.022677225,0.008190181,0
695,0.015838062,0.005720126,0
700,0.011352457,0.004100091,0
705,0.008057476,0.002910064,0
710,0.005814673,0.002100046,0
715,0.00409796,0.001480033,0
720,0.002907337,0.001050023,0
725,0.00204898,0.000740016,0
730,0.001439824,0.000520011,0
735,0.000996801,0.000360008,0
740,0.000692223,0.000250006,0
745,0.000470712,0.000170004,0
750,0.000332267,0.000120003,0
755,0.000221511,8.00E-05,0
760,0.000166134,6.00E-05,0
765,0.000110756,4.00E-05,0
770,8.31E-05,3.00E-05,0
775,0,0,0
780,0,0,0
